Airport_Code,Year,TotalClaims,Claim_Type,Total_Enplanement,PctClaims
BLV,2017,1,Passenger Property Loss,123841,0.0008%
BLV,2017,1,Property Damage,123841,0.0008%
BMI,2013,2,Passenger Property Loss,211957,0.0009%
BMI,2013,1,Property Damage,211957,0.0005%
BMI,2014,3,Passenger Property Loss,204523,0.0015%
BMI,2014,1,Property Damage,204523,0.0005%
BMI,2015,2,Property Damage,186633,0.0011%
BMI,2015,1,Passenger Property Loss,186633,0.0005%
BMI,2017,1,Passenger Property Loss,163475,0.0006%
BNA,2013,24,Passenger Property Loss,5050989,0.0005%
BNA,2013,23,Property Damage,5050989,0.0005%
BNA,2013,1,Personal Injury,5050989,0.0000%
BNA,2014,27,Property Damage,5396958,0.0005%
BNA,2014,15,Passenger Property Loss,5396958,0.0003%
BNA,2015,27,Property Damage,5715205,0.0005%
BNA,2015,22,Passenger Property Loss,5715205,0.0004%
BNA,2015,1,Personal Injury,5715205,0.0000%
BNA,2015,1,Unknown,5715205,0.0000%
BNA,2016,27,Property Damage,6338517,0.0004%
BNA,2016,26,Passenger Property Loss,6338517,0.0004%
BNA,2016,1,Property Loss,6338517,0.0000%
BNA,2017,30,Property Damage,6902771,0.0004%
BNA,2017,23,Passenger Property Loss,6902771,0.0003%
BOI,2013,8,Passenger Property Loss,1313741,0.0006%
BOI,2013,4,Property Damage,1313741,0.0003%
BOI,2014,8,Property Damage,1378352,0.0006%
BOI,2014,4,Passenger Property Loss,1378352,0.0003%
BOI,2015,5,Passenger Property Loss,1487777,0.0003%
BOI,2015,4,Property Damage,1487777,0.0003%
BOI,2015,1,Personal Injury,1487777,0.0001%
BOI,2016,7,Passenger Property Loss,1633507,0.0004%
BOI,2016,7,Property Damage,1633507,0.0004%
BOI,2016,1,Personal Injury,1633507,0.0001%
BOI,2017,12,Passenger Property Loss,1777642,0.0007%
BOI,2017,6,Property Damage,1777642,0.0003%
BOS,2013,160,Passenger Property Loss,14810153,0.0011%
BOS,2013,108,Property Damage,14810153,0.0007%
BOS,2013,3,Personal Injury,14810153,0.0000%
BOS,2013,1,Unknown,14810153,0.0000%
BOS,2014,111,Property Damage,15507561,0.0007%
BOS,2014,107,Passenger Property Loss,15507561,0.0007%
BOS,2014,3,Personal Injury,15507561,0.0000%
BOS,2014,2,Unknown,15507561,0.0000%
BOS,2015,105,Passenger Property Loss,16290362,0.0006%
BOS,2015,87,Property Damage,16290362,0.0005%
BOS,2015,3,Personal Injury,16290362,0.0000%
BOS,2016,109,Passenger Property Loss,17759044,0.0006%
BOS,2016,91,Property Damage,17759044,0.0005%
BOS,2016,2,Personal Injury,17759044,0.0000%
BOS,2016,1,Property Loss,17759044,0.0000%
BOS,2016,1,Missed Flight,17759044,0.0000%
BOS,2017,111,Passenger Property Loss,18759742,0.0006%
BOS,2017,92,Property Damage,18759742,0.0005%
BOS,2017,3,Unknown,18759742,0.0000%
BOS,2017,1,Personal Injury,18759742,0.0000%
BPT,2013,1,Passenger Property Loss,35790,0.0028%
BPT,2014,1,Passenger Property Loss,38213,0.0026%
BQK,2014,2,Passenger Property Loss,32579,0.0061%
BQK,2015,1,Property Damage,34561,0.0029%
BQK,2015,1,Passenger Property Loss,34561,0.0029%
BQK,2016,3,Passenger Property Loss,36054,0.0083%
BQK,2016,1,Property Damage,36054,0.0028%
BQK,2016,1,Employee Loss (MPCECA),36054,0.0028%
BQK,2017,1,Property Damage,36433,0.0027%
BQK,2017,1,Passenger Property Loss,36433,0.0027%
BQN,2013,1,Unknown,201453,0.0005%
BQN,2013,1,Property Damage,201453,0.0005%
BQN,2014,3,Passenger Property Loss,212239,0.0014%
BQN,2014,1,Property Damage,212239,0.0005%
BQN,2014,1,Unknown,212239,0.0005%
BQN,2015,1,Property Damage,202197,0.0005%
BQN,2015,1,Passenger Property Loss,202197,0.0005%
BQN,2016,3,Property Damage,257871,0.0012%
BQN,2016,1,Personal Injury,257871,0.0004%
BQN,2016,1,Passenger Property Loss,257871,0.0004%
BQN,2017,1,Passenger Property Loss,252693,0.0004%
BRD,2014,1,Passenger Property Loss,17160,0.0058%
BRD,2015,1,Property Damage,18200,0.0055%
BRD,2016,2,Passenger Property Loss,18328,0.0109%
BRD,2016,1,Property Damage,18328,0.0055%
BRD,2017,1,Property Damage,21383,0.0047%
BRL,2013,1,Passenger Property Loss,6439,0.0155%
BRO,2013,1,Passenger Property Loss,100793,0.0010%
BRO,2014,1,Property Damage,183604,0.0005%
BRW,2017,1,Passenger Property Loss,45958,0.0022%
BTM,2016,1,Property Damage,25890,0.0039%
BTM,2017,1,Passenger Property Loss,27703,0.0036%
BTR,2013,3,Passenger Property Loss,400712,0.0007%
BTR,2013,1,Property Damage,400712,0.0002%
BTR,2014,3,Property Damage,380153,0.0008%
BTR,2014,2,Passenger Property Loss,380153,0.0005%
BTR,2014,1,Personal Injury,380153,0.0003%
BTR,2015,2,Property Damage,366102,0.0005%
BTR,2015,1,Passenger Property Loss,366102,0.0003%
BTR,2016,4,Passenger Property Loss,364200,0.0011%
BTR,2017,2,Passenger Property Loss,377670,0.0005%
BTR,2017,2,Property Damage,377670,0.0005%
BTV,2013,7,Passenger Property Loss,606503,0.0012%
BTV,2013,3,Property Damage,606503,0.0005%
BTV,2013,1,Unknown,606503,0.0002%
BTV,2014,7,Passenger Property Loss,602932,0.0012%
BTV,2014,5,Property Damage,602932,0.0008%
BTV,2015,5,Passenger Property Loss,581143,0.0009%
BTV,2015,1,Property Damage,581143,0.0002%
BTV,2016,4,Passenger Property Loss,593311,0.0007%
BTV,2016,1,Property Damage,593311,0.0002%
BTV,2017,2,Passenger Property Loss,578014,0.0003%
BUF,2013,25,Passenger Property Loss,2567594,0.0010%
BUF,2013,15,Property Damage,2567594,0.0006%
BUF,2013,1,Personal Injury,2567594,0.0000%
BUF,2014,15,Passenger Property Loss,2378469,0.0006%
BUF,2014,12,Property Damage,2378469,0.0005%
BUF,2015,12,Property Damage,2336431,0.0005%
BUF,2015,10,Passenger Property Loss,2336431,0.0004%
BUF,2016,12,Property Damage,2313724,0.0005%
BUF,2016,3,Passenger Property Loss,2313724,0.0001%
BUF,2017,13,Passenger Property Loss,2348512,0.0006%
BUF,2017,13,Property Damage,2348512,0.0006%
BUR,2013,12,Property Damage,1918011,0.0006%
