LocID,Enplanement,Year
CNM,"3,972",2017
LBF,"3,911",2017
BFD,"3,897",2017
DUJ,"3,888",2017
AKP,"3,856",2017
PUB,"3,833",2017
AOO,"3,806",2017
OLF,"3,804",2017
AWI,"3,756",2017
BFF,"3,709",2017
A61,"3,614",2017
2A9,"3,612",2017
JST,"3,594",2017
DUY,"3,589",2017
GGW,"3,517",2017
GAM,"3,493",2017
IAN,"3,485",2017
KVL,"3,454",2017
SHH,"3,360",2017
0AK,"3,353",2017
GGV,"3,341",2017
MOU,"3,263",2017
PDK,"3,259",2017
BTI,"3,212",2017
16A,"3,096",2017
KAE,"3,087",2017
Z09,"3,049",2017
HNM,"2,967",2017
KWT,"2,948",2017
KLG,"2,915",2017
HLA,"2,897",2017
EEK,"2,839",2017
2C7,"2,779",2017
FMN,"2,739",2017
AUK,"2,733",2017
HVR,"2,716",2017
MCK,"2,710",2017
WBB,"2,687",2017
HOT,"2,654",2017
2A3,"2,651",2017
SMK,"2,641",2017
TAL,"2,633",2017
EWU,"2,602",2017
SNP,"2,595",2017
6R7,"2,586",2017
MCG,"2,566",2017
Z13,"2,556",2017
MDM,"2,505",2017
