Date_ID,Full_Date,Year,Month,Day,Quarter,Weekday_Name
201,2013-07-20,2013,7,20,3,Saturday
202,2013-07-21,2013,7,21,3,Sunday
203,2013-07-22,2013,7,22,3,Monday
204,2013-07-23,2013,7,23,3,Tuesday
205,2013-07-24,2013,7,24,3,Wednesday
206,2013-07-25,2013,7,25,3,Thursday
207,2013-07-26,2013,7,26,3,Friday
208,2013-07-27,2013,7,27,3,Saturday
209,2013-07-28,2013,7,28,3,Sunday
210,2013-07-29,2013,7,29,3,Monday
211,2013-07-30,2013,7,30,3,Tuesday
212,2013-07-31,2013,7,31,3,Wednesday
213,2013-08-01,2013,8,1,3,Thursday
214,2013-08-02,2013,8,2,3,Friday
215,2013-08-03,2013,8,3,3,Saturday
216,2013-08-04,2013,8,4,3,Sunday
217,2013-08-05,2013,8,5,3,Monday
218,2013-08-06,2013,8,6,3,Tuesday
219,2013-08-07,2013,8,7,3,Wednesday
220,2013-08-08,2013,8,8,3,Thursday
221,2013-08-09,2013,8,9,3,Friday
222,2013-08-10,2013,8,10,3,Saturday
223,2013-08-11,2013,8,11,3,Sunday
224,2013-08-12,2013,8,12,3,Monday
225,2013-08-13,2013,8,13,3,Tuesday
226,2013-08-14,2013,8,14,3,Wednesday
227,2013-08-15,2013,8,15,3,Thursday
228,2013-08-16,2013,8,16,3,Friday
229,2013-08-17,2013,8,17,3,Saturday
230,2013-08-18,2013,8,18,3,Sunday
231,2013-08-19,2013,8,19,3,Monday
232,2013-08-20,2013,8,20,3,Tuesday
233,2013-08-21,2013,8,21,3,Wednesday
234,2013-08-22,2013,8,22,3,Thursday
235,2013-08-23,2013,8,23,3,Friday
236,2013-08-24,2013,8,24,3,Saturday
237,2013-08-25,2013,8,25,3,Sunday
238,2013-08-26,2013,8,26,3,Monday
239,2013-08-27,2013,8,27,3,Tuesday
240,2013-08-28,2013,8,28,3,Wednesday
241,2013-08-29,2013,8,29,3,Thursday
242,2013-08-30,2013,8,30,3,Friday
243,2013-08-31,2013,8,31,3,Saturday
244,2013-09-01,2013,9,1,3,Sunday
245,2013-09-02,2013,9,2,3,Monday
246,2013-09-03,2013,9,3,3,Tuesday
247,2013-09-04,2013,9,4,3,Wednesday
248,2013-09-05,2013,9,5,3,Thursday
249,2013-09-06,2013,9,6,3,Friday
250,2013-09-07,2013,9,7,3,Saturday
251,2013-09-08,2013,9,8,3,Sunday
252,2013-09-09,2013,9,9,3,Monday
253,2013-09-10,2013,9,10,3,Tuesday
254,2013-09-11,2013,9,11,3,Wednesday
255,2013-09-12,2013,9,12,3,Thursday
256,2013-09-13,2013,9,13,3,Friday
257,2013-09-14,2013,9,14,3,Saturday
258,2013-09-15,2013,9,15,3,Sunday
259,2013-09-16,2013,9,16,3,Monday
260,2013-09-17,2013,9,17,3,Tuesday
261,2013-09-18,2013,9,18,3,Wednesday
262,2013-09-19,2013,9,19,3,Thursday
263,2013-09-20,2013,9,20,3,Friday
264,2013-09-21,2013,9,21,3,Saturday
265,2013-09-22,2013,9,22,3,Sunday
266,2013-09-23,2013,9,23,3,Monday
267,2013-09-24,2013,9,24,3,Tuesday
268,2013-09-25,2013,9,25,3,Wednesday
269,2013-09-26,2013,9,26,3,Thursday
270,2013-09-27,2013,9,27,3,Friday
271,2013-09-28,2013,9,28,3,Saturday
272,2013-09-29,2013,9,29,3,Sunday
273,2013-09-30,2013,9,30,3,Monday
274,2013-10-01,2013,10,1,4,Tuesday
275,2013-10-02,2013,10,2,4,Wednesday
276,2013-10-03,2013,10,3,4,Thursday
277,2013-10-04,2013,10,4,4,Friday
278,2013-10-05,2013,10,5,4,Saturday
279,2013-10-06,2013,10,6,4,Sunday
280,2013-10-07,2013,10,7,4,Monday
281,2013-10-08,2013,10,8,4,Tuesday
282,2013-10-09,2013,10,9,4,Wednesday
283,2013-10-10,2013,10,10,4,Thursday
284,2013-10-11,2013,10,11,4,Friday
285,2013-10-12,2013,10,12,4,Saturday
286,2013-10-13,2013,10,13,4,Sunday
287,2013-10-14,2013,10,14,4,Monday
288,2013-10-15,2013,10,15,4,Tuesday
289,2013-10-16,2013,10,16,4,Wednesday
290,2013-10-17,2013,10,17,4,Thursday
291,2013-10-18,2013,10,18,4,Friday
292,2013-10-19,2013,10,19,4,Saturday
293,2013-10-20,2013,10,20,4,Sunday
294,2013-10-21,2013,10,21,4,Monday
295,2013-10-22,2013,10,22,4,Tuesday
296,2013-10-23,2013,10,23,4,Wednesday
297,2013-10-24,2013,10,24,4,Thursday
298,2013-10-25,2013,10,25,4,Friday
299,2013-10-26,2013,10,26,4,Saturday
300,2013-10-27,2013,10,27,4,Sunday
301,2013-10-28,2013,10,28,4,Monday
302,2013-10-29,2013,10,29,4,Tuesday
303,2013-10-30,2013,10,30,4,Wednesday
304,2013-10-31,2013,10,31,4,Thursday
305,2013-11-01,2013,11,1,4,Friday
306,2013-11-02,2013,11,2,4,Saturday
307,2013-11-03,2013,11,3,4,Sunday
308,2013-11-04,2013,11,4,4,Monday
309,2013-11-05,2013,11,5,4,Tuesday
310,2013-11-06,2013,11,6,4,Wednesday
311,2013-11-07,2013,11,7,4,Thursday
312,2013-11-08,2013,11,8,4,Friday
313,2013-11-09,2013,11,9,4,Saturday
314,2013-11-10,2013,11,10,4,Sunday
315,2013-11-11,2013,11,11,4,Monday
316,2013-11-12,2013,11,12,4,Tuesday
317,2013-11-13,2013,11,13,4,Wednesday
318,2013-11-14,2013,11,14,4,Thursday
319,2013-11-15,2013,11,15,4,Friday
320,2013-11-16,2013,11,16,4,Saturday
321,2013-11-17,2013,11,17,4,Sunday
