Airport_Code,Airport_Name,City,State,Year,totalclaims
BJI,"Bemidji, MN",Bemidji,MN,2016,1
BKG,Branson Airport,Unknown,Unknown,2013,4
BLI,Bellingham International,Bellingham,WA,2013,6
BLI,Bellingham International,Bellingham,WA,2014,5
BLI,Bellingham International,Bellingham,WA,2015,2
BLI,Bellingham International,Bellingham,WA,2016,3
BLI,Bellingham International,Bellingham,WA,2017,2
BLV,Midamerica Airport,Belleville,IL,2013,1
BLV,Midamerica Airport,Belleville,IL,2014,2
BLV,Midamerica Airport,Belleville,IL,2015,1
BLV,Midamerica Airport,Belleville,IL,2017,2
BMI,Bloomington-Normal Airport,Bloomington/Normal,IL,2013,3
BMI,Bloomington-Normal Airport,Bloomington/Normal,IL,2014,4
BMI,Bloomington-Normal Airport,Bloomington/Normal,IL,2015,3
BMI,Bloomington-Normal Airport,Bloomington/Normal,IL,2017,1
BNA,Nashville International,Nashville,TN,2013,48
BNA,Nashville International,Nashville,TN,2014,42
BNA,Nashville International,Nashville,TN,2015,51
BNA,Nashville International,Nashville,TN,2016,54
BNA,Nashville International,Nashville,TN,2017,53
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2013,12
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2014,12
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2015,10
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2016,15
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2017,18
BOS,Boston (Logan) International Airport,Boston,MA,2013,272
BOS,Boston (Logan) International Airport,Boston,MA,2014,223
BOS,Boston (Logan) International Airport,Boston,MA,2015,195
BOS,Boston (Logan) International Airport,Boston,MA,2016,204
BOS,Boston (Logan) International Airport,Boston,MA,2017,207
BPT,Southeast Texas Regional,Beaumont/Port Arthur,TX,2013,1
BPT,Southeast Texas Regional,Beaumont/Port Arthur,TX,2014,1
BQK,Glynco Jetport,Brunswick,GA,2014,2
BQK,Glynco Jetport,Brunswick,GA,2015,2
BQK,Glynco Jetport,Brunswick,GA,2016,5
BQK,Glynco Jetport,Brunswick,GA,2017,2
BQN,Rafael Hernandez,Aguadilla,PR,2013,2
BQN,Rafael Hernandez,Aguadilla,PR,2014,5
BQN,Rafael Hernandez,Aguadilla,PR,2015,2
BQN,Rafael Hernandez,Aguadilla,PR,2016,5
BQN,Rafael Hernandez,Aguadilla,PR,2017,1
BRD,"Brainerd, MN",Brainerd,MN,2014,1
BRD,"Brainerd, MN",Brainerd,MN,2015,1
BRD,"Brainerd, MN",Brainerd,MN,2016,3
