LocID,Year,Boarding
LNS,2015,1523
VEL,2015,1320
TVF,2015,1029
MSL,2015,802
GLH,2015,773
MBA,2015,566
VRB,2015,101
LMT,2015,93
ATL,2014,46604273
LAX,2014,34314197
ORD,2014,33843426
DFW,2014,30804567
JFK,2014,26244928
DEN,2014,26000591
SFO,2014,22770783
CLT,2014,21537725
LAS,2014,20620248
PHX,2014,20344867
IAH,2014,19772087
MIA,2014,19471466
SEA,2014,17888080
EWR,2014,17773405
MCO,2014,17278608
MSP,2014,16972678
DTW,2014,15775941
BOS,2014,15507561
PHL,2014,14792339
LGA,2014,13535372
FLL,2014,12031860
BWI,2014,11022200
IAD,2014,10415948
MDW,2014,10311996
SLC,2014,10139065
DCA,2014,10115546
HNL,2014,9463000
SAN,2014,9333152
TPA,2014,8531561
PDX,2014,7878760
STL,2014,6108758
HOU,2014,5800726
BNA,2014,5396958
AUS,2014,5219982
OAK,2014,5069257
MCI,2014,4982722
MSY,2014,4870569
RDU,2014,4673869
SJC,2014,4621003
SNA,2014,4584147
DAL,2014,4522341
SMF,2014,4384616
SJU,2014,4187888
SAT,2014,4046856
RSW,2014,3948006
PIT,2014,3827860
CLE,2014,3686315
IND,2014,3605908
MKE,2014,3228607
CMH,2014,3115501
OGG,2014,3019338
PBI,2014,2926242
BDL,2014,2913380
CVG,2014,2875844
JAX,2014,2589198
ANC,2014,2381826
BUF,2014,2378469
ABQ,2014,2354184
ONT,2014,2037346
OMA,2014,2020354
BUR,2014,1928491
OKC,2014,1861272
MEM,2014,1800268
PVD,2014,1764828
RIC,2014,1671096
SDF,2014,1634983
RNO,2014,1611572
TUS,2014,1597247
CHS,2014,1539326
ORF,2014,1488114
GEG,2014,1445572
GUM,2014,1436726
KOA,2014,1403559
ELP,2014,1395363
BOI,2014,1378352
TUL,2014,1371613
LGB,2014,1368923
LIH,2014,1340014
BHM,2014,1299214
ALB,2014,1210825
GRR,2014,1174821
ROC,2014,1173933
DSM,2014,1141172
DAY,2014,1120842
SFB,2014,1064133
MHT,2014,1032964
LIT,2014,1005251
SYR,2014,987169
PSP,2014,953607
GSP,2014,945477
SAV,2014,932416
MYR,2014,858288
GSO,2014,851157
TYS,2014,845913
PWM,2014,837820
MSN,2014,833634
CAK,2014,771155
PNS,2014,758612
ICT,2014,757695
HPN,2014,756189
FAT,2014,710353
STT,2014,687172
IWA,2014,669807
PIE,2014,663810
ISP,2014,646171
MDT,2014,644048
ITO,2014,626950
COS,2014,624317
XNA,2014,619157
BTV,2014,602932
SRQ,2014,598219
LEX,2014,595083
ACY,2014,594346
CID,2014,570571
MAF,2014,547355
BLI,2014,543346
JAN,2014,537821
HSV,2014,523248
CAE,2014,498151
GSN,2014,495150
FSD,2014,490448
BZN,2014,482683
FAI,2014,459769
FAR,2014,456372
LBB,2014,451238
EUG,2014,440198
FNT,2014,421129
BIL,2014,420113
SGF,2014,420017
ECP,2014,394570
MFE,2014,385631
EYW,2014,383776
AVL,2014,382586
BTR,2014,380153
ILM,2014,378203
TTN,2014,377961
JNU,2014,375828
MLI,2014,372526
AMA,2014,362412
VPS,2014,360542
CHA,2014,356077
CRP,2014,347977
GCN,2014,340808
TLH,2014,339078
PGD,2014,336905
SBA,2014,335049
MSO,2014,334948
PSC,2014,329087
GPT,2014,325437
MFR,2014,323563
FWA,2014,323252
PIA,2014,320054
BGR,2014,317200
SBN,2014,311158
JAC,2014,308509
SHV,2014,307540
DAB,2014,306542
ROA,2014,305496
GRB,2014,302568
ABE,2014,298306
HRL,2014,293306
MOB,2014,288376
RAP,2014,266623
AGS,2014,263478
PHF,2014,259082
RDM,2014,255654
CHO,2014,250666
ATW,2014,249656
BIS,2014,248316
LFT,2014,247857
CRW,2014,241566
FAY,2014,230436
GPI,2014,224820
MOT,2014,219957
ASE,2014,217648
TRI,2014,215259
AVP,2014,214805
MLB,2014,214704
GJT,2014,214313
BQN,2014,212239
BVU,2014,211648
GNV,2014,206820
BMI,2014,204523
LAN,2014,202118
TVC,2014,196451
DRO,2014,193764
GTF,2014,190361
GRK,2014,189529
MRY,2014,186935
STX,2014,185899
BRO,2014,183604
AEX,2014,175526
EVV,2014,171212
ACK,2014,170361
MGM,2014,169764
IDA,2014,166864
EGE,2014,165004
ELM,2014,159136
SWF,2014,158556
OAJ,2014,157012
BET,2014,155936
DLH,2014,153583
SBP,2014,151394
GFK,2014,146003
UNV,2014,142551
LNK,2014,142205
BFL,2014,140007
PBG,2014,139676
AZO,2014,134832
1G4,2014,128515
LBE,2014,128415
CWA,2014,125395
MBS,2014,122918
MLU,2014,120589
RST,2014,119874
EWN,2014,118749
STS,2014,117046
LRD,2014,116565
KTN,2014,115948
ISN,2014,114281
RFD,2014,111983
IAG,2014,111212
ILG,2014,104488
CPR,2014,103397
ENA,2014,100448
IFP,2014,99443
TOL,2014,98941
LSE,2014,98869
PSE,2014,97271
ERI,2014,97063
HLN,2014,96869
HTS,2014,96367
CMI,2014,95351
ABI,2014,93656
HDN,2014,92245
CLL,2014,91127
NYL,2014,90732
MTJ,2014,90630
FSM,2014,90214
ITH,2014,89501
TYR,2014,86625
SPI,2014,86198
HYA,2014,85184
BGM,2014,82625
SCK,2014,82298
ADQ,2014,79966
MKK,2014,79597
LYH,2014,78876
SAF,2014,74749
SIT,2014,72027
VQS,2014,71757
LCH,2014,69334
FLG,2014,68123
ACT,2014,66631
YNG,2014,65983
SJT,2014,65973
SUN,2014,65801
MHK,2014,65649
OTZ,2014,63128
SBY,2014,62712
LWS,2014,62479
PVU,2014,62011
GRI,2014,61400
PGV,2014,60547
SGU,2014,59321
FLO,2014,59314
DIK,2014,58987
OME,2014,58610
ORH,2014,57818
YKM,2014,57076
BRW,2014,56995
EAT,2014,56589
SCC,2014,56001
COU,2014,55556
PPG,2014,55156
HXD,2014,54712
LAW,2014,54147
MVY,2014,52362
LNY,2014,51918
ACV,2014,51688
