Airport_Code,Airport_Name,City,State,Year,Claim_Type,Total_Close_Amount
AVL,Asheville Regional Airport,Asheville,NC,2015,Property Damage,$491.21
AVL,Asheville Regional Airport,Asheville,NC,2016,Passenger Property Loss,$72.25
AVL,Asheville Regional Airport,Asheville,NC,2016,Property Damage,$49.38
AVL,Asheville Regional Airport,Asheville,NC,2017,Passenger Property Loss,
AVL,Asheville Regional Airport,Asheville,NC,2017,Property Damage,"$1,184.98"
AVP,Wilkes-Barre/Scranton International,Wilkes-Barre/Scranton,PA,2013,Passenger Property Loss,$358.00
AVP,Wilkes-Barre/Scranton International,Wilkes-Barre/Scranton,PA,2014,Passenger Property Loss,$0.00
AVP,Wilkes-Barre/Scranton International,Wilkes-Barre/Scranton,PA,2014,Property Damage,$64.02
AVP,Wilkes-Barre/Scranton International,Wilkes-Barre/Scranton,PA,2015,Personal Injury,
AVP,Wilkes-Barre/Scranton International,Wilkes-Barre/Scranton,PA,2016,Passenger Property Loss,
AVP,Wilkes-Barre/Scranton International,Wilkes-Barre/Scranton,PA,2016,Property Damage,$26.35
AVP,Wilkes-Barre/Scranton International,Wilkes-Barre/Scranton,PA,2017,Missed Flight,
AVP,Wilkes-Barre/Scranton International,Wilkes-Barre/Scranton,PA,2017,Passenger Property Loss,
AVP,Wilkes-Barre/Scranton International,Wilkes-Barre/Scranton,PA,2017,Property Damage,
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,2013,Property Damage,$52.95
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,2013,Unknown,
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,2014,Passenger Property Loss,$8.53
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,2015,Passenger Property Loss,$160.00
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,2016,Passenger Property Loss,
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,2016,Property Damage,
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,2017,Passenger Property Loss,
BDL,Bradley International Airport,Windsor Locks,CT,2013,Passenger Property Loss,$119.96
BDL,Bradley International Airport,Windsor Locks,CT,2013,Property Damage,$222.83
BDL,Bradley International Airport,Windsor Locks,CT,2014,Passenger Property Loss,$608.75
BDL,Bradley International Airport,Windsor Locks,CT,2014,Property Damage,"$2,580.55"
BDL,Bradley International Airport,Windsor Locks,CT,2015,Complaint,$50.75
BDL,Bradley International Airport,Windsor Locks,CT,2015,Passenger Property Loss,$158.83
BDL,Bradley International Airport,Windsor Locks,CT,2015,Property Damage,"$1,227.92"
BDL,Bradley International Airport,Windsor Locks,CT,2016,Passenger Property Loss,$129.00
BDL,Bradley International Airport,Windsor Locks,CT,2016,Personal Injury,
BDL,Bradley International Airport,Windsor Locks,CT,2016,Property Damage,$246.04
BDL,Bradley International Airport,Windsor Locks,CT,2017,Passenger Property Loss,$86.79
BDL,Bradley International Airport,Windsor Locks,CT,2017,Property Damage,"$1,256.38"
BFD,Bradford Regional,Bradford,PA,2017,Property Damage,
BFF,West Nebraska Regional - William Heilig Field,Scottsbluff,NE,2017,Property Damage,
BFL,"Meadows Field, Bakersfield Airport",Bakersfield,CA,2013,Passenger Property Loss,$70.00
BFL,"Meadows Field, Bakersfield Airport",Bakersfield,CA,2013,Property Damage,$0.00
BFL,"Meadows Field, Bakersfield Airport",Bakersfield,CA,2014,Compliment,
BFL,"Meadows Field, Bakersfield Airport",Bakersfield,CA,2014,Passenger Property Loss,$0.00
BFL,"Meadows Field, Bakersfield Airport",Bakersfield,CA,2014,Property Damage,$0.00
BFL,"Meadows Field, Bakersfield Airport",Bakersfield,CA,2015,Passenger Property Loss,$0.00
BFL,"Meadows Field, Bakersfield Airport",Bakersfield,CA,2015,Property Damage,$0.00
BFL,"Meadows Field, Bakersfield Airport",Bakersfield,CA,2016,Passenger Property Loss,
BGM,Greater Binghamton Airport,Binghamton,NY,2013,Passenger Property Loss,$0.00
BGM,Greater Binghamton Airport,Binghamton,NY,2013,Property Damage,$195.26
BGM,Greater Binghamton Airport,Binghamton,NY,2015,Passenger Property Loss,
BGM,Greater Binghamton Airport,Binghamton,NY,2016,Property Damage,$0.00
BGM,Greater Binghamton Airport,Binghamton,NY,2017,Property Damage,$0.00
BGR,Bangor International Airport,Bangor,ME,2013,Passenger Property Loss,$0.00
BGR,Bangor International Airport,Bangor,ME,2013,Property Damage,$50.00
BGR,Bangor International Airport,Bangor,ME,2014,Passenger Property Loss,$47.44
BGR,Bangor International Airport,Bangor,ME,2015,Passenger Property Loss,
BGR,Bangor International Airport,Bangor,ME,2015,Property Damage,$408.00
BGR,Bangor International Airport,Bangor,ME,2017,Passenger Property Loss,
BGR,Bangor International Airport,Bangor,ME,2017,Property Damage,
BHB,Hancock County Bar Harbor,Bar Harbor,ME,2013,Passenger Property Loss,
BHB,Hancock County Bar Harbor,Bar Harbor,ME,2016,Passenger Property Loss,$0.00
BHM,Birmingham International Airport,Birmingham,AL,2013,Passenger Property Loss,$638.00
BHM,Birmingham International Airport,Birmingham,AL,2013,Personal Injury,
BHM,Birmingham International Airport,Birmingham,AL,2013,Property Damage,$509.60
BHM,Birmingham International Airport,Birmingham,AL,2014,Passenger Property Loss,$76.30
BHM,Birmingham International Airport,Birmingham,AL,2014,Property Damage,$79.98
BHM,Birmingham International Airport,Birmingham,AL,2015,Passenger Property Loss,$0.00
BHM,Birmingham International Airport,Birmingham,AL,2015,Property Damage,$220.00
BHM,Birmingham International Airport,Birmingham,AL,2016,Passenger Property Loss,$195.22
BHM,Birmingham International Airport,Birmingham,AL,2016,Property Damage,$180.00
BHM,Birmingham International Airport,Birmingham,AL,2017,Passenger Property Loss,$4.25
BHM,Birmingham International Airport,Birmingham,AL,2017,Property Damage,$0.00
BIL,"Billings, MT",Billings,MT,2013,Passenger Property Loss,$0.00
BIL,"Billings, MT",Billings,MT,2013,Property Damage,$0.00
BIL,"Billings, MT",Billings,MT,2014,Passenger Property Loss,$0.00
BIL,"Billings, MT",Billings,MT,2014,Property Damage,$69.99
BIL,"Billings, MT",Billings,MT,2015,Passenger Property Loss,$0.00
BIL,"Billings, MT",Billings,MT,2015,Property Damage,$20.00
BIL,"Billings, MT",Billings,MT,2016,Passenger Property Loss,$19.48
BIL,"Billings, MT",Billings,MT,2016,Property Damage,$101.15
BIL,"Billings, MT",Billings,MT,2017,Passenger Property Loss,$0.00
BIL,"Billings, MT",Billings,MT,2017,Property Damage,$10.71
BIS,Bismarck Municipal,Bismarck,ND,2013,Passenger Property Loss,$0.00
BIS,Bismarck Municipal,Bismarck,ND,2014,Property Damage,$0.00
BIS,Bismarck Municipal,Bismarck,ND,2015,Passenger Property Loss,$393.03
BIS,Bismarck Municipal,Bismarck,ND,2016,Passenger Property Loss,
BIS,Bismarck Municipal,Bismarck,ND,2016,Property Damage,$35.00
BIS,Bismarck Municipal,Bismarck,ND,2017,Passenger Property Loss,
BJI,"Bemidji, MN",Bemidji,MN,2013,Passenger Property Loss,$50.00
BJI,"Bemidji, MN",Bemidji,MN,2013,Property Damage,$0.00
BJI,"Bemidji, MN",Bemidji,MN,2014,Passenger Property Loss,
BJI,"Bemidji, MN",Bemidji,MN,2015,Passenger Property Loss,$56.00
BJI,"Bemidji, MN",Bemidji,MN,2015,Property Damage,$50.00
BJI,"Bemidji, MN",Bemidji,MN,2016,Property Damage,$10.98
BKG,Branson Airport,Unknown,Unknown,2013,Passenger Property Loss,$96.98
BKG,Branson Airport,Unknown,Unknown,2013,Property Damage,$0.00
BLI,Bellingham International,Bellingham,WA,2013,Passenger Property Loss,
